title,price,description,link
"Godiva Premium Chocolate Assortment, 3 Tier Gold Ballotin Tower, 63 Pieces Total",89.99,"We are committed to offering the best value to our members, with a risk-free 100% satisfaction guarantee on your membership and merchandise with some exceptions and limitations*. If you have questions about your membership or products you've purchased at Costco, please visit the membership counter at your local Costco or Contact Customer Service.",https://www.costco.com/godiva-premium-chocolate-assortment-3-tier-gold-ballotin-tower-63-pieces-total.product.4000315235.html
"Lindt Lindor Chocolate Truffles, Assorted Flavors, 21.2 oz",15.99,,https://www.costco.com/lindt-lindor-chocolate-truffles-assorted-flavors-212-oz.product.100851787.html
"Amedei 70% Dark Chocolate, After Dinner/Hotel Lobby Chocolates, 4.5 g, 204 count",99.99,"We are committed to offering the best value to our members, with a risk-free 100% satisfaction guarantee on your membership and merchandise with some exceptions and limitations*. If you have questions about your membership or products you've purchased at Costco, please visit the membership counter at your local Costco or Contact Customer Service.",https://www.costco.com/amedei-70-dark-chocolate-after-dinnerhotel-lobby-chocolates-45-g-204-count.product.4000228935.html
"Nestlé Toll House, Semi-Sweet Chocolate Chip Morsels, 72 oz",16.99,"5 stars
stars",https://www.costco.com/nestl-toll-house-semi-sweet-chocolate-chip-morsels-72-oz.product.100403311.html
"Utah Truffles Dark Chocolate Truffles With Sea Salt 16 oz, 2-pack",39.99,"We are committed to offering the best value to our members, with a risk-free 100% satisfaction guarantee on your membership and merchandise with some exceptions and limitations*. If you have questions about your membership or products you've purchased at Costco, please visit the membership counter at your local Costco or Contact Customer Service.",https://www.costco.com/utah-truffles-dark-chocolate-truffles-with-sea-salt-16-oz-2-pack.product.4000266958.html
"Hershey's Kisses, Milk Chocolate, 56 oz",19.99,"5 stars
stars",https://www.costco.com/hersheys-kisses-milk-chocolate-56-oz.product.100381532.html
"Wild West Assorted Chocolate Box, 24.26 oz. total",49.99,"5 stars
stars",https://www.costco.com/wild-west-assorted-chocolate-box-2426-oz-total.product.4000274833.html
"Ferrero Rocher, Milk Chocolate Hazelnut Candy, 1.3 oz, 3-count, 12-pack",14.99,"5 stars
stars",https://www.costco.com/ferrero-rocher-milk-chocolate-hazelnut-candy-13-oz-3-count-12-pack.product.100381593.html
"UNREAL Dark Chocolate Coconut Minis, 15.3 oz",12.99,Read the Unreal Supplier Profile article featured in The Costco Connection.,https://www.costco.com/unreal-dark-chocolate-coconut-minis-153-oz.product.100638275.html
"Hershey's Nuggets Assortment, Variety Pack, 145-count",15.59,"5 stars
stars",https://www.costco.com/hersheys-nuggets-assortment-variety-pack-145-count.product.100381533.html
"Kirkland Signature Almonds, Milk Chocolate, 3 lb",23.99,"5 stars
stars",https://www.costco.com/kirkland-signature-almonds-milk-chocolate-3-lb.product.100333886.html
"Milano Cookies, Double Dark Chocolate, 0.98 oz, 30-count",11.29,"5 stars
stars",https://www.costco.com/milano-cookies-double-dark-chocolate-098-oz-30-count.product.4000094517.html
"Skinny Dipped Cups, Dark Chocolate Peanut Butter, 30-count",15.99,"5 stars
stars",https://www.costco.com/skinny-dipped-cups-dark-chocolate-peanut-butter-30-count.product.4000064657.html
"Hershey's Miniatures, Variety Pack, 56 oz",20.99,"5 stars
stars",https://www.costco.com/hersheys-miniatures-variety-pack-56-oz.product.100402650.html
"Kirkland Signature All Chocolate Bag, 90 oz,",27.49,"5 stars
stars",https://www.costco.com/kirkland-signature-all-chocolate-bag-90-oz.product.100333887.html
"Heaton Pecans Roasted Salted Pecans, Chocolate Covered Pecans, Praline Pecan Tin 2.3 lb Total",44.99,"This 2.3 lbs of Roasted Salted Pecans, Chocolate Covered Pecans & Praline Pecans packaged in a gift-able tin and are perfect for any holiday! For over 31 years, Heaton Pecans' family-run business has been preparing fresh pecans. We use only the highest-quality, new crop pecans and unique cooking methods which separate them from the rest. We pride ourselves that each tin of pecans is hand-prepared by individuals whose sole purpose is to deliver you the highest quality gift available.",https://www.costco.com/heaton-pecans-roasted-salted-pecans-chocolate-covered-pecans-praline-pecan-tin-23-lb-total.product.4000027578.html
